in:
0||2 5 11 16 30 57 67 95 
1||0 2 37 38 
2||3 4 9 13 26 37 40 56 
3||1 2 4 15 18 19 27 87 
4||5 6 34 53 64 65 73 
5||6 27 43 
6||
7||0 2 46 78 
8||0 1 16 32 90 
9||0 15 
10||0 4 11 12 19 58 69 
11||92 
12||9 22 59 84 
13||11 20 
14||0 8 
15||3 28 81 
16||36 42 44 70 
17||3 5 71 92 
18||4 26 61 64 93 
19||48 66 
20||3 32 44 51 72 78 
21||5 16 
22||4 56 
23||4 21 
24||2 8 73 
25||4 10 41 49 
26||
27||
28||21 54 
29||9 19 97 
30||20 
31||0 2 34 57 
32||
33||0 18 
34||97 
35||1 10 63 
36||20 
37||68 87 96 99 
38||31 52 83 
39||15 17 
40||29 
41||7 
42||40 45 
43||37 
44||
45||22 
46||28 
47||2 9 88 
48||24 54 
49||10 
50||7 13 55 
51||35 
52||20 
53||8 
54||
55||13 94 
56||
57||62 63 98 
58||50 67 
59||14 
60||29 40 
61||14 66 
62||53 76 
63||
64||
65||3 94 
66||
67||
68||42 
69||14 
70||2 72 
71||25 
72||
73||
74||5 14 
75||6 21 89 
76||28 
77||21 42 
78||
79||18 75 
80||2 22 
81||20 
82||61 73 
83||25 
84||1 
85||17 52 
86||1 84 
87||
88||30 
89||2 
90||48 
91||1 77 
92||
93||27 
94||
95||31 
96||20 
97||
98||11 
99||42 
