0||1 2 5 7 8 9 10 11 14 16 30 31 33 57 67 95 
1||0 2 3 8 35 37 38 84 86 91 
2||1 0 3 4 7 9 13 24 26 31 37 40 47 56 70 80 89 
3||2 1 4 15 17 18 19 20 27 65 87 
4||2 3 5 6 10 18 22 23 25 34 53 64 65 73 
5||4 0 6 17 21 27 43 74 
6||4 5 75 
7||0 2 41 46 50 78 
8||1 0 14 16 24 32 53 90 
9||0 2 12 15 29 47 
10||4 0 11 12 19 25 35 49 58 69 
11||10 0 13 92 98 
12||9 10 22 59 84 
13||2 11 20 50 55 
14||8 0 59 61 69 74 
15||3 9 28 39 81 
16||8 0 21 36 42 44 70 
17||5 3 39 71 85 92 
18||3 4 26 33 61 64 79 93 
19||10 3 29 48 66 
20||13 3 30 32 36 44 51 52 72 78 81 96 
21||5 16 23 28 75 77 
22||4 12 45 56 80 
23||4 21 
24||8 2 48 73 
25||10 4 41 49 71 83 
26||2 18 
27||3 5 93 
28||21 15 46 54 76 
29||9 19 40 60 97 
30||20 0 88 
31||2 0 34 38 57 95 
32||8 20 
33||18 0 
34||4 31 97 
35||10 1 51 63 
36||20 16 
37||1 2 43 68 87 96 99 
38||31 1 52 83 
39||15 17 
40||29 2 42 60 
41||7 25 
42||40 16 45 68 77 99 
43||5 37 
44||16 20 
45||22 42 
46||28 7 
47||9 2 88 
48||24 19 54 90 
49||25 10 
50||7 13 55 58 
51||20 35 
52||20 38 85 
53||8 4 62 
54||28 48 
55||13 50 94 
56||22 2 
57||31 0 62 63 98 
58||10 50 67 
59||14 12 
60||40 29 
61||18 14 66 82 
62||57 53 76 
63||35 57 
64||18 4 
65||3 4 94 
66||19 61 
67||0 58 
68||42 37 
69||10 14 
70||16 2 72 
71||17 25 
72||20 70 
73||4 24 82 
74||5 14 
75||6 21 79 89 
76||62 28 
77||21 42 91 
78||20 7 
79||18 75 
80||22 2 
81||15 20 
82||73 61 
83||25 38 
84||1 12 86 
85||17 52 
86||84 1 
87||3 37 
88||30 47 
89||2 75 
90||48 8 
91||1 77 
92||11 17 
93||27 18 
94||65 55 
95||31 0 
96||20 37 
97||29 34 
98||57 11 
99||37 42 
