out:
0||1 7 8 9 10 14 31 33 
1||3 8 35 84 86 91 
2||0 1 3 7 24 31 47 70 80 89 
3||2 15 17 20 65 
4||2 3 10 18 22 23 25 
5||0 4 17 21 74 
6||4 5 75 
7||41 50 
8||14 24 53 
9||2 12 29 47 
10||25 35 49 
11||0 10 13 98 
12||10 
13||2 50 55 
14||59 61 69 74 
15||3 9 39 
16||0 8 21 
17||39 85 
18||3 33 79 
19||3 10 29 
20||13 30 36 52 81 96 
21||23 28 75 77 
22||12 45 80 
23||
24||48 
25||71 83 
26||2 18 
27||3 5 93 
28||15 46 76 
29||40 60 
30||0 88 
31||38 95 
32||8 20 
33||
34||4 31 
35||51 
36||16 
37||1 2 43 
38||1 
39||
40||2 42 60 
41||25 
42||16 68 77 99 
43||5 
44||16 20 
45||42 
46||7 
47||
48||19 90 
49||25 
50||58 
51||20 
52||38 85 
53||4 62 
54||28 48 
55||50 
56||2 22 
57||0 31 
58||10 
59||12 
60||
61||18 82 
62||57 
63||35 57 
64||4 18 
65||4 
66||19 61 
67||0 58 
68||37 
69||10 
70||16 
71||17 
72||20 70 
73||4 24 82 
74||
75||79 
76||62 
77||91 
78||7 20 
79||
80||
81||15 
82||
83||38 
84||12 86 
85||
86||
87||3 37 
88||47 
89||75 
90||8 
91||
92||11 17 
93||18 
94||55 65 
95||0 
96||37 
97||29 34 
98||57 
99||37 
